keywords	Accuratezza	Search Volume	Competition	Average CPC	avg_position	sumimppression	sumclicks	Last_Trend	HighScore_predict	slope_trendline
piscine fuori terra	9	301000,0	0,9999949043287728	211018	97,5	1181	10	41	100,0	-4,203932634040697
recensioni	0	49500,0	0,0015355802988058	111959	5,0	2306	1	98	100,0	2,757738527659042
drago di komodo	5	40500,0	0,0011422927158681	0	75,0	659	0	14	100,0	10,3500696638286
doccia	0	40500,0	0,9997992831541218	240461	3,0	228	0	78	99,96384615913364	-0,8673275021933077
schnauzer	0	33100,0	0,0368215704033999	123502	10,875	176	0	24	100,0	11,1504137678929
rhodesian ridgeback	5	33100,0	0,023256952386886	231648	45,0	1094	0	28	100,0	5,640518683153914
jack russell	0	33100,0	0,0722022293208254	87664	21,5	238	1	72	95,1326407098653	8,24507550160111
golden retriever cucciolo	11	27100,0	0,0950402184559674	365024	24,0	392	1	25	100,0	4,746506496312104
beta	0	27100,0	0,238926059725102	354470	10,0	252	0	65	100,0	-2,66254035726436
ventilatori	0	27100,0	1,0	247341	24,5	1577	0	61	98,83450399572033	-2,3585452314811124
rhodesian	1	22200,0	0,0041453282240446	217350	56,0	464	0	41	98,09170968204292	7,164229121062298
longboard	0	22200,0	0,9996913580246912	317007	59,0	185	1	14	99,84671369392989	4,8062648782535335
bussolotto	4	22200,0	0,0195912661429902	76635	6,6	503	0	61	100,0	-0,8412734205059617
mocio vileda	8	18100,0	1,0	101262	34,0	658	0	39	100,0	5,368445730370138
sdraio	0	18100,0	1,0	257766	25,0	2968	6	45	100,0	-1,5352975030600842
ombrelloni	0	14800,0	1,0	252928	20,0	1722	3	87	100,0	-1,0082683558621954
fornello a gas	7	14800,0	1,0	113910	78,0	333	0	86	100,0	3,2292292995416902
frigo	0	14800,0	0,9997650994099296	251460	79,0	253	0	81	100,0	-0,24507299371689623
gruccia	3	14800,0	1,0	266671	19,0	886	1	15	100,0	5,994011210939675
ombrellone	2	14800,0	1,0	252702	23,0	1228	0	83	100,0	-0,7362601456366853
compressore aria	0	12100,0	1,0	292036	59,0	4508	11	70	100,0	1,0350509842261861
cassetta postale	0	12100,0	0,9999735963140456	176571	21,0	2814	6	53	100,0	-0,7995683734920207
piantana	0	12100,0	1,0	219479	87,0	244	0	55	100,0	-1,3455889853493952
cancelleria	0	12100,0	0,8973167309715889	1216866	72,0	1402	1	70	100,0	-4,476122790076978
elica	0	12100,0	0,7065800565279913	309078	44,0	651	0	76	99,3707290683879	-3,009827142740686
mandolina	8	12100,0	0,8838719077839658	136288	49,0	417	0	35	99,51521629490549	2,2024491410179157
nebulizzatore	0	9900,0	1,0	197264	38,0	662	0	33	100,0	-2,753439628037327
mocio	0	9900,0	1,0	137190	88,0	258	0	33	100,0	6,2749383567711305
dunlop	0	9900,0	0,2660749107301137	292330	38,0	446	0	50	99,4704213739192	-2,8451131948032624
badile	1	9900,0	0,7344422472955682	73052	23,0	216	0	53	100,0	5,795703070995132
anemometro	3	9900,0	0,9897587057855772	268982	50,333333333333336	262	0	23	100,0	-1,548159032779444
girarrosto	0	9900,0	0,9998940004239985	136652	5,557046979865772	23292	244	48	99,0962191011276	3,4677958376917672
fermaporta	1	9900,0	1,0	124627	25,5	457	0	16	100,0	3,7936097865990988
setaccio	4	8100,0	0,7435640923035881	167644	84,0	425	0	52	100,0	5,224836356828138
brandina	0	8100,0	1,0	73262	49,0	209	0	89	100,0	1,773198634301585
irrigazione	0	8100,0	1,0	442008	16,5	2204	3	86	97,00844033284235	-2,8374213089068054
tagliapiastrelle	14	6600,0	1,0	138727	27,0	203	0	63	98,12893544607142	6,671243163391781
cassette postali	8	6600,0	1,0	270143	18,33333333333333	2920	6	36	100,0	-4,279146471201354
o ring	6	6600,0	0,9997269997269996	637626	28,0	351	0	42	97,0449833786226	6,319591929612964
calici	0	6600,0	0,9997435568662648	175461	10,0	1725	6	17	100,0	11,077069324687782
cannuccia	0	6600,0	0,9997103548153512	104851	11,0	1436	0	50	100,0	6,618293983594654
tenda doccia	4	6600,0	1,0	184263	19,0	285	0	70	100,0	1,165104802236833
piscina esterna	9	6600,0	1,0	193464	48,0	195	0	79	99,65791210415004	-2,0692156341962478
gardena	0	5400,0	0,8215324927255092	200046	29,0	308	0	40	95,1620501669676	7,718520847254624
tete	0	5400,0	0,0227297268113594	96530	53,0	256	0	46	97,81646323312935	6,080080731894751
lampade solari	9	5400,0	1,0	230161	20,0	472	0	64	100,0	-1,8145075128642814
scolapasta	10	5400,0	1,0	98919	36,0	207	0	33	100,0	3,651362204703956
occhielli	3	5400,0	0,689038189533239	127579	58,0	446	0	26	100,0	-4,221289207362339
porta bici	2	5400,0	1,0	131884	50,0	390	0	56	98,96382137871936	-0,8127593675814634
fontanella	0	5400,0	0,7380830249514527	120855	7,0	190	0	45	100,0	2,3664092504626266
borsa termica	8	5400,0	1,0	189658	15,0	1862	6	51	100,0	2,1329339625052914
lettini	0	5400,0	1,0	297479	39,0	652	0	66	99,14320687474834	-0,23951925587544418
suck	0	4400,0	0,0	0	42,0	153	0	72	100,0	-0,15833264394087723
insetticida	0	4400,0	0,999578788684934	175839	101,0	326	0	71	97,99235744474224	-2,3334480796809127
fer	0	4400,0	0,0116782652847883	610484	56,0	531	0	62	98,39710651752108	-2,641041684634705
ardes	3	4400,0	0,8367892125683756	98781	7,913043478260869	1823	1	71	100,0	-2,2265708142332516
borsa bianca	3	4400,0	1,0	198508	96,0	955	0	100	100,0	0,6788934390771422
nuvoletta	0	4400,0	0,51264618655923	104394	36,0	411	0	52	100,0	-1,8999538026461045
tappi per orecchie	9	3600,0	1,0	128128	99,0	415	0	51	100,0	5,028015553144453
bacinella	4	3600,0	0,9997245937758192	126164	50,0	207	0	39	100,0	4,27691219114208
minecraft crafting	11	3600,0	0,0392823587311529	0	11,0	225	0	47	100,0	2,3143433365332458
tappo	0	3600,0	0,4757885216867016	36471	45,0	658	0	97	100,0	1,2806032972033237
spiedo	0	3600,0	1,0	135997	18,0	643	3	69	100,0	10,116013499664403
acqua verde	0	3600,0	0,1623305810873967	109193	31,0	165	0	37	100,0	5,131498313509528
cassetta pronto soccorso	10	3600,0	1,0	645833	48,0	309	0	25	95,79891311465208	-0,6005179034224387
imbracatura	4	3600,0	0,9993084071752756	228388	43,0	446	0	34	100,0	2,607730618602065
maroc	0	3600,0	0,0025056192195733	0	47,0	393	0	100	97,76085909028224	-2,9459479182388897
verde acido	6	3600,0	0,9991419037025264	245121	17,0	1492	0	37	95,70604661859169	1,2215037870174361
graticola	8	3600,0	0,9366585067319462	91660	9,272727272727272	7469	20	9	100,0	8,85495022423442
ridgeback	4	2900,0	0,0053521408563425	0	40,0	555	0	31	98,19977834926806	4,929616276992339
tubolari	0	2900,0	0,7360753714617747	107427	46,0	813	0	50	98,32348442973776	-4,57948833493209
anticalcare	0	2900,0	1,0	320117	49,0	275	0	58	100,0	-2,7717517792917676
lampade esterno	0	2900,0	1,0	342020	45,0	267	0	84	100,0	-1,736748098603866
hypno	5	2900,0	0,0383715986394557	71995	8,222222222222221	5566	3	6	97,82261693156184	11,12477214309962
scarico lavatrice	1	2900,0	0,99995036235481	76707	41,0	169	0	28	97,61960880321588	2,122162593934635
secchiello	0	2400,0	0,999627004848937	207358	1,0	415	0	78	100,0	0,33511303360167544
top bianco	8	2400,0	1,0	205372	42,0	336	0	53	100,0	-0,20554242118325522
il braciere	7	2400,0	0,229487247750386	237821	12,0	650	1	16	96,88368373906346	6,1001803408918835
la siesta	1	2400,0	0,1230604601391118	787404	14,0	161	0	53	100,0	4,433965882768372
carrellino	0	1600,0	1,0	258113	10,0	332	0	44	98,70859300383916	8,103269043033535
frigor	6	1600,0	0,99933598937583	274656	60,0	154	0	57	95,40999265147528	3,338228516257554
dcg	5	1600,0	0,598004036779547	149767	30,5	301	0	100	100,0	-2,6651453207234472
vileda mocio	8	1300,0	1,0	119767	3,0	295	0	39	100,0	5,368445730370138
acqua piscina	0	1000,0	0,5368123823467893	273440	1,0	3246	0	63	100,0	-0,00762167636106631
estensibili	11	1000,0	0,9686411149825784	778463	38,0	202	0	35	100,0	-2,7086000730240234
fornello gas	1	880,0	1,0	123731	41,0	208	0	33	100,0	7,8694781014422155
cow cow	0	720,0	0,0301914580265095	63819	40,0	315	0	56	100,0	3,945556397590886
orari ferramenta	0	320,0	0,0049776007964161	0	10,0	164	0	15	97,34544620022648	2,5069667089948062
piscina acqua	1	260,0	0,5792106725958867	131826	7,5	397	2	66	100,0	-1,0011433954409783
21:2	0	260,0	0,0035714285714285	0	10,0	255	0	43	100,0	-2,0883038368307907
regolatore pressione	1	210,0	0,988490182802979	262135	27,0	158	0	70	100,0	-3,5793939895101494
schnauzer nano	5			0	39,0	510	0	59	99,6990632616601	9,792361258617905
scopa casa	2			0	8,0	391	0	36	99,02662878832444	7,307847112453022
